crop_name,location,day_1,day_2,day_3,day_4,day_5,day_6,day_7
Rice,Agartala,11.5,12.5,11,13,14.5,12.5,13.5
Rice,Agra,9.5,28,29,9.5,28,25,9.5
Rice,Allahabad,8,15,16,8,15,11,9
Rice,Amritsar,12.8,40,41,12.8,40,35,13
Rice,Bangalore,12,16,15,11,15,13,11
Rice,Bhatinda,11,13,12,11,13,11,12
Rice,Bhopal,12,17,15,12,17,18,12
Rice,Bhubneshwar,9,9.5,10,8,10,11,7.5
Rice,Chittoor,10,13,12,10,12.5,11,10
Rice,Coimbatore,11,12,11,10.5,12,13,10
Rice,Cuttack,9,9.5,11,8,9,8,8
Rice,Delhi,12.5,24,23,12.5,24,23,12.5
Rice,Dhanbad,9,10,10,11,13,12,9
Rice,Dibrugarh,10,11,12,12,14,13,13
Rice,Ernakulam,12,13,12,12,14,12,11.5
Rice,Gandhi Nagar,13.5,16,15,13.5,16,13.5,13.5
Rice,Gorakhpur,7.5,11,11,7.5,11,12,7.5
Rice,Guntur,10.25,11.5,12,10.5,12,13,12.5
Rice,Hajipur,9,10,10,9.5,10.5,11,12
Rice,Haldwani,9,10,11,7,9,8,7
Rice,Jaipur,12,22,21,12,22,20,13
Rice,Karnal,11,42,40,11.5,40,41,11
Rice,Khozhikode,12.5,15.4,13.5,12.5,15.4,14.5,12.5
Rice,Ludhiana,11.25,25,20,11.25,25,21,11.25
Rice,Muzaffarpur,9.5,10.5,11.5,9.5,11,11,10
Rice,Nasik,12,16,13,12,16,15,12
Rice,Panaji,11,15,14,13,12,11,10
Rice,Patna,9,10,8,9,11,11,10
Rice,Ranchi,8,10,9,8,9.75,10,8.25
Rice,Salem,11.5,12,11,12,12.5,10,12
Rice,Tumkur,10,13,10,9,12,13,9
Rice,Udaipur,12.5,15,13,12,11,12,12.5
Rice,Vadodra,13.3,15.5,14,13.7,15.5,16,13.7
Rice,Chandigarh,10.5,12,12,11.5,14,13,11
Rice,Howrah,10,12,11,10,12,11,10
Rice,Madurai,10.5,11.5,12,10.5,10.5,13,10.5
Rice,Mandi,9,12,8,9,12,11,9
Onion,Davangere,50,30,30,40,50,60,60
Tomato,Davangere,10,15,10,20,30,20,20
Potato,Davangere,60,50,50,60,60,60,60
Chilli,Davangere,70,80,80,60,80,80,80
Carrot,Davangere,130,130,120,100,100,100,110
Brinjal,Davangere,80,70,60,80,80,80,80
Rice,Davangere,55,55,50,50,48,47,45
Wheat,Davangere,38,38,37,35,35,34,32
Jowar,Davangere,30,30,29,29,27,28,28
Raagi,Davangere,38,37,37,35,34,36,36
Sajje,Davangere,20,21,22,22,23,24,25
